Plant ID,Plant name (English),Owner,Owner GEM ID,Parent,Parent GEM ID,Subnational unit (province/state),Country/Area,Region,Plant age (years),Start date,Workforce size,Status,Nominal crude steel capacity (ttpa),Latitude_plant,Longitude_plant,geometry,environmental_indicator,Latitude_station,Longitude_station,distance_km,environmental_indicator_log
P100000120038,Ternium Brasil Santa Cruz steel plant,Ternium Brasil Ltda,E100000131066,Ternium SA [100.0%],E100001000384 [100.0%],Rio de Janeiro,Brazil,Central & South America,15,2010,8000,operating,5200,-22.912549,-43.741614,POINT (-4869294.196955926 -2621446.338767488),64633.832128563045,23.625,68.20833333,13553.868,11.077
P100000120043,Usiminas Ipatinga steel plant,Usinas Siderurgicas de Minas Gerais SA,E100000130691,Usinas Siderurgicas de Minas Gerais SA [100.0%],E100000130691 [100.0%],Minas Gerais,Brazil,Central & South America,63,1962,6500,operating,5000,-19.491277,-42.544253,POINT (-4736004.580140201 -2212862.084188794),64633.832128563045,23.625,68.20833333,13274.6,11.077
P100000120044,Vallourec Jeceaba steel plant,Vallourec Soluções Tubulares do Brasil SA,E100000130951,Vallourec SA [100.0%],E100001010324 [100.0%],Minas Gerais,Brazil,Central & South America,14,2011,2500,operating,1000,-20.582683,-43.971555,POINT (-4894891.111988422 -2342186.9894880257),64633.832128563045,23.625,68.20833333,13470.245,11.077
P100000120054,Viena Açailândia iron works,Andrade Valladares Engenharia e Construcao Ltda,E100000130884,natural person(s); RKV Participacoes Ltda; Skv Participacoes Ltda; Viena Administracao e Participacoes Ltda,E100000123261; E100002007562; E100002007563; E100002007564,Maranhão,Brazil,Central & South America,37,1988,1300,operating,1350,-4.887877,-47.392157,POINT (-5275670.784834875 -544777.1692281623),64633.832128563045,23.625,68.20833333,13273.269,11.077
P100000120031,Stomana Industry Pernik steel plant,Stomana Industry AD,E100000130943,Viohalco SA [100.0%],E100000131005 [100.0%],Pernik,Bulgaria,Europe,67,1958,1200,operating,1400,42.595629,23.093095,POINT (2570711.5762406923 5250623.604632242),603655.6002061085,27.125,69.54166667,5585.156,13.311
P100000120059,Algoma steel plant,Algoma Steel Group Inc,E100000001817,Algoma Steel Group Inc [100.0%],E100000001817 [100.0%],Ontario,Canada,North America,124,1901,2700,operating,3700,46.518984,-84.374068,POINT (-9392478.285917038 5863910.425164993),54845.716740088894,23.875,68.20833333,17270.606,10.912
P100000120058,ArcelorMittal Dofasco steel plant,ArcelorMittal Dofasco GP,E100001000495,ArcelorMittal SA [100.0%],E100000000687 [100.0%],Ontario,Canada,North America,113,1912,5000,operating,1350,43.269255,-79.804858,POINT (-8883836.155389505 5353045.417984605),54845.716740088894,23.875,68.20833333,16682.952,10.912
P100000120057,ArcelorMittal Montreal steel plant,ArcelorMittal Long Products Canada GP,E100001000502,ArcelorMittal SA [100.0%],E100000000687 [100.0%],Quebec,Canada,North America,111,1914,1900,operating,2400,45.835148,-73.254957,POINT (-8154704.511323152 5753970.812269701),54845.716740088894,23.875,68.20833333,16033.794,10.912
P100000120061,Cleveland-Cliffs Lake Erie steel plant,Cleveland-Cliffs Inc,E100001000649,Cleveland-Cliffs Inc [100.0%],E100001000649 [100.0%],Ontario,Canada,North America,45,1980,1373,operating,2500,42.805448,-80.095313,POINT (-8916169.458087865 5282405.776661567),54845.716740088894,23.875,68.20833333,16703.982,10.912
P100000120060,Evraz Regina Steel plant,Evraz North America PLC,E100000131019,EVRAZ PLC,E100001000663,Saskatchewan,Canada,North America,64,1961,1200,operating,1200,50.51499,-104.630589,POINT (-11647423.888880292 6535945.370993742),54845.716740088894,23.875,68.20833333,19611.571,10.912
