Owner,total_capacity,plant_count,avg_environment,avg_environment_log,country_count,country_names,Latitude_plant,Longitude_plant,Nominal crude steel capacity (ttpa),Subnational unit (province/state),Country/Area,distance_km
Jianlong Xilin Iron and Steel Co Ltd,4200,1,10642384.938641924,16.18,1,['China'],47.495036,129.287919,4200,Heilongjiang,China,6.059
Chengyu Vanadium & Titanium Technology Co Ltd,4050,1,69319122.10205877,18.054,1,['China'],29.732143,104.504339,4050,Sichuan,China,5.156
PT Krakatau Steel (Persero) Tbk,4000,1,33214.740917487085,10.411,1,['Indonesia'],-6.007021,106.001766,4000,Banten,Indonesia,1971.696
Voestalpine Stahl GmbH,4000,1,293.8831668379416,5.687,1,['Austria'],48.274023,14.33434,4000,Upper Austria,Austria,6744.784
Jiugang Group Yuzhong Iron & Steel Co Ltd,4000,1,167993672.70306432,18.939,1,['China'],36.033646,104.035535,4000,Gansu,China,1.298
Ningbo Iron & Steel Co Ltd,3999,1,7787131930.195617,22.776,1,['China'],29.918776,121.876423,3999,Zhejiang,China,5.623
Hebei Taihang Iron and Steel Group Co Ltd,3950,1,383769388.9911753,19.766,1,['China'],36.613716,114.082349,3950,Hebei,China,4.792
Pangang Group Xichang Steel and Vanadium Co Ltd,3900,1,146825967.31663737,18.805,1,['China'],27.74799,102.20517,3900,Sichuan,China,5.0
Al Ezz Flat Steel Company SAE,3900,1,54845.716740088894,10.912,1,['Egypt'],29.692045,32.322117,3900,Suez,Egypt,4060.241
Shandong Iron and Steel Co Ltd,3850,1,1723461254.4344203,21.268,1,['China'],36.087717,117.827927,3850,Shandong,China,6.533
Eregli Demir ve Celik Fabrikalari AŞ,3801,1,603655.6002061085,13.311,1,['Türkiye'],41.261469,31.420106,3801,Zonguldak,Türkiye,4654.468
Anhui Changjiang Steel Co Ltd,3800,1,2369022303.7466125,21.586,1,['China'],31.502272,118.465162,3800,Anhui,China,5.2
Shaanxi LONG MEN IRON&STEEL Co Ltd,3800,1,1050556946.8883605,20.773,1,['China'],35.618466,110.575788,3800,Shaanxi,China,3.902
Zenith Steel Group Co Ltd,3700,1,18149919723.49238,23.622,1,['China'],31.707656,120.079591,3700,Jiangsu,China,4.223
Algoma Steel Group Inc,3700,1,54845.716740088894,10.912,1,['Canada'],46.518984,-84.374068,3700,Ontario,Canada,17270.606
Fujian Great Dong Hai Industrial Group Co Ltd,3695,1,548350467.9412751,20.122,1,['China'],25.737777,119.592239,3695,Fujian,China,6.703
Shanxi Zhongyang Iron & Steel Co Ltd,3600,1,320338051.3482251,19.585,1,['China'],37.370796,111.161118,3600,Shanxi,China,4.064
Dongkuk Steel Mill Co Ltd,3600,2,141550687.07690954,17.294,1,['South Korea'],37.486465,126.638607,2200,Seoul National Capital Area,South Korea,438.97
Emsteel Building Materials PJSC,3600,1,54845.716740088894,10.912,1,['United Arab Emirates'],24.322033,54.467987,3600,Abu Dhabi,United Arab Emirates,1530.54
Xinji AOSEN Steel Group Co Ltd,3600,1,215529762.4241828,19.189,1,['China'],37.752351,115.184798,3600,Hebei,China,6.125
Esfahan Steel Co,3600,1,603655.6002061085,13.311,1,['Iran'],32.418304,51.331314,3600,Isfahan,Iran,2137.939
"Xinyang Iron & Steel Co.,ltd of Angang Group",3600,1,382250327.83036226,19.762,1,['China'],32.488704,114.038243,3600,Henan,China,4.026
Shougang Changzhi IRON& Steel Co Ltd,3600,1,2449438562.2978115,21.619,1,['China'],36.356404,113.060809,3600,Shanxi,China,3.339
Shougang Shuicheng Iron & Steel (Group) Co Ltd,3501,1,2917021785.146939,21.794,1,['China'],26.595229,104.877413,3501,Guizhou,China,3.716
Ternium Argentina SA,3501,1,64633.832128563045,11.077,1,['Argentina'],-33.37365,-60.138697,3501,Buenos Aires,Argentina,15760.487
Kamet-Steel PrJSC,3500,1,293.8831668379416,5.687,1,['Ukraine'],48.528019,34.640915,3500,Dnipropetrovsk,Ukraine,4569.729
Ningxia Jianlong Special Steel Co Ltd,3500,1,698923464.9402945,20.365,1,['China'],39.215452,106.688294,3500,Ningxia,China,2.454
Alliance Steel (M) Sdn Bhd,3500,1,33214.740917487085,10.411,1,['Malaysia'],4.007595,103.344458,3500,Pahang,Malaysia,1101.832
Oskol'skiy Elektrometallurgicheskiy Kombinat Imeni Alekseya Alekseyevicha Ugarova JSC,3500,1,69838.97000546272,11.154,1,['Russia'],51.142738,37.940532,3500,Belgorod,Russia,4389.559
Qinhuangdao Hongxing Iron & Steel Co Ltd,3450,1,853581286.6142415,20.565,1,['China'],39.700721,118.871477,3450,Hebei,China,1.169
